index_seg,MONTH,YEAR,MOTOR VEHICLE THEFT,ROBBERY,ASSAULT W/DANGEROUS WEAPON,THEFT/OTHER,THEFT F/AUTO,BURGLARY,ARSON,SEX ABUSE,HOMICIDE
10731,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,,,,
2103,12.0,2015.0,,1.0,,1.0,1.0,,,,
3649,12.0,2015.0,,1.0,,2.0,1.0,,,,
8786,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,,,,
11033,10.0,2014.0,1.0,,,2.0,1.0,2.0,,,
6308,9.0,2014.0,1.0,,1.0,,,1.0,,,
140,12.0,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
6621,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
10185,7.0,2014.0,,1.0,,,,,,,
1533,11.0,2014.0,,,,1.0,1.0,,,,
460,10.0,2015.0,,1.0,1.0,1.0,1.0,1.0,,,
5305,11.0,2016.0,,,,,1.0,,,,
3545,11.0,2016.0,,1.0,,,1.0,,,,
2545,11.0,2014.0,,,,,1.0,,,,
1774,12.0,2014.0,,,,1.0,1.0,1.0,,,
3296,9.0,2014.0,,,,,2.0,1.0,,,
5270,8.0,2015.0,,,,,1.0,,,,
11116,2.0,2015.0,,,,,1.0,,,,
9209,12.0,2014.0,1.0,1.0,1.0,1.0,1.0,,,,
11145,8.0,2014.0,,,1.0,,,,,,
4291,12.0,2014.0,1.0,1.0,1.0,1.0,1.0,2.0,,,
6087,10.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
10843,12.0,2014.0,,1.0,,1.0,1.0,1.0,,,
6099,8.0,2015.0,,1.0,1.0,,1.0,,,,
10376,12.0,2015.0,1.0,1.0,,2.0,1.0,1.0,1.0,,
5838,12.0,2015.0,1.0,1.0,,1.0,1.0,1.0,,,
8361,10.0,2015.0,,1.0,1.0,1.0,1.0,,,,
2614,10.0,2015.0,,,,,1.0,,,,
11210,11.0,2016.0,,1.0,,1.0,1.0,,,,
4296,7.0,2014.0,1.0,,,1.0,,,,,
1867,9.0,2016.0,,,,1.0,,,,,
7305,9.0,2014.0,,,,1.0,,,,,
3626,6.0,2014.0,,1.0,,,1.0,,,,
12444,1.0,2014.0,,,,1.0,,,,,
11197,12.0,2016.0,1.0,,,1.0,1.0,,,,
4112,12.0,2015.0,,1.0,1.0,1.0,1.0,1.0,,,
9833,12.0,2016.0,1.0,1.0,,1.0,1.0,1.0,,1.0,
2437,12.0,2015.0,1.0,1.0,2.0,1.0,1.0,,,1.0,
2022,11.0,2015.0,1.0,,,,1.0,,,,
12636,12.0,2014.0,,,,1.0,,,,,
13214,12.0,2016.0,1.0,1.0,1.0,2.0,1.0,2.0,,,
2000,8.0,2014.0,,,,,1.0,,,,
11331,11.0,2015.0,,1.0,1.0,,1.0,1.0,,,
614,12.0,2015.0,,,,1.0,1.0,,,,
10315,12.0,2016.0,,1.0,1.0,1.0,,,,,
939,12.0,2014.0,,,,1.0,2.0,1.0,,,
6283,10.0,2015.0,1.0,1.0,,,1.0,,,,
8675,10.0,2015.0,,,,,,1.0,,,
4476,12.0,2014.0,1.0,1.0,,1.0,1.0,,,,
3283,9.0,2014.0,,,,,1.0,,,,
8744,12.0,2014.0,1.0,1.0,1.0,1.0,1.0,,,,
5499,11.0,2016.0,,,,1.0,1.0,1.0,,,
12713,12.0,2016.0,,,1.0,,,1.0,,1.0,
9235,10.0,2015.0,1.0,,,1.0,1.0,2.0,,,
8959,10.0,2014.0,,1.0,,1.0,1.0,,,,
4673,11.0,2014.0,,,,,1.0,1.0,,,
9328,10.0,2014.0,,,,1.0,1.0,,,,
4387,10.0,2014.0,,,,1.0,,,,,
2409,12.0,2016.0,,1.0,,1.0,3.0,,,,
5563,4.0,2016.0,1.0,1.0,,,1.0,,,,
8538,11.0,2015.0,1.0,1.0,1.0,1.0,1.0,,,,
4813,11.0,2016.0,,,,1.0,1.0,,,,
10282,6.0,2015.0,1.0,,,,,,,,
6181,9.0,2016.0,1.0,,,,1.0,,,,
12872,12.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,
