index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total
359,1.0,7.719370860927152,20.0,0.0,0.0,97.0,160.36049058256683,256.0
360,7.0,7.719370860927152,37.0,2.0,1.0,248.0,8.0,2855.0
361,22.0,2.0,36.0,2.0,0.0,463.0,5.0,5362.0
362,15.0,7.0,42.0,7.0,0.0,675.0,25.0,3243.0
363,40.0,20.0,98.0,57.0,3.0,762.0,3.0,1914.0
364,30.0,30.0,244.0,205.0,2.0,730.0,8.0,3748.0
365,29.0,16.0,243.0,210.0,2.0,586.0,3.0,147.0
366,5.0,7.719370860927152,39.0,0.0,3.0,403.0,1.0,814.0
367,5.0,3.0,17.0,0.0,0.0,303.0,160.36049058256683,336.0
368,6.0,3.0,67.0,0.0,0.0,326.0,3.0,313.0
369,10.0,3.0,33.0,1.0,0.0,68.0,2.0,507.0
370,13.0,4.0,38.0,2.0,0.0,94.0,2.0,230.0
371,6.0,3.0,41.0,2.0,0.0,84.0,2.0,223.0
372,4.0,2.0,38.0,0.0,0.0,80.0,2.0,43.0
373,6.0,2.0,27.0,0.0,1.0,63.0,36.0,79.0
374,5.0,2.0,34.0,0.0,1.0,54.0,1.0,91.0
