index_seg,d_btw_cntr_SgAsEg,ud_bridge_SgAsEg,ud_btw_cntr_SgAsEg
352,147075.201154,0.0,236124.700092
353,15184.2318084,0.0,40433.1199678
354,13131.6681771,0.0,37546.8246148
355,7280.92841982,0.0,47377.6841652
356,12470.2019288,0.0,18375.7439755
357,20343.0359142,0.0,4523.99084999
358,14599.0208116,0.0,11866.2087074
359,16318.6518005,0.0,12938.9852089
360,258470.366524,0.0,286423.242753
361,444000.424159,0.0,658774.275683
362,403120.059773,0.0,730682.096045
363,353749.43519,0.0,525385.359425
364,395347.870144,0.0,603675.973186
365,420787.962479,0.0,666822.066771
366,10178.8796415,0.0,3905.42102764
367,18672.5618753,0.0,11623.9854698
368,23469.1732554,0.0,22032.4151837
369,66473.7048486,0.0,9871.95394588
370,37102.1490822,0.0,19128.6702463
371,44811.2646547,0.0,14346.2147103
372,104670.268919,0.0,76650.8400555
373,167221.167275,0.0,266571.168733
374,71155.4352398,0.0,113433.057099
375,79879.788834,0.0,89047.9097575
376,119139.756726,0.0,109768.866649
377,25057.4286825,0.0,27300.2316095
378,16934.0,1.0,17016.0
380,314698.573744,0.0,75345.1103132
381,191221.915793,0.0,42104.7798172
382,161128.564741,0.0,12569.8407775
383,151737.157378,0.0,33034.8195732
384,138926.523418,0.0,25402.6131785
385,123744.189203,0.0,13821.3682129
386,120798.40773,0.0,16718.0886271
387,131994.681422,0.0,21646.9432707
388,134977.295545,0.0,42595.0971684
389,122335.721214,0.0,80142.3117772
390,303310.618205,0.0,73978.2443583
391,248659.432018,0.0,92462.3853123
392,183349.533877,0.0,55952.9867094
393,163473.664688,0.0,229395.05288
394,157013.902428,0.0,119491.787282
395,142039.077329,0.0,102540.672407
396,117084.214391,0.0,93400.4248262
397,102323.862935,0.0,76210.3778737
398,76761.772411,0.0,81904.7873481
399,39689.6036088,0.0,25639.5278299
400,28615.6395845,0.0,13137.3021766
401,22209.391567,0.0,13302.848954
402,14840.8570462,0.0,6422.64810795
403,52576.626536,0.0,66621.2772665
404,75342.8520867,0.0,60764.3459967
405,16934.0,1.0,17016.0
406,88566.1511062,0.0,288778.844742
407,2512.81721178,0.0,13553.0442225
408,23104.9723573,0.0,12949.3781828
409,4258.51110714,0.0,9053.37646959
410,18306.2452446,0.0,13445.9324658
411,5197.74428718,0.0,3826.43771654
412,20794.1573447,0.0,50736.9499536
413,20977.347616,0.0,20242.565966
414,13889.2136513,0.0,13536.3775302
415,17251.9835094,0.0,17790.1648556
416,25819.5497509,0.0,21047.7967821
417,60757.7271735,0.0,51638.1645559
418,122015.203416,0.0,90189.5419663
419,159045.219681,0.0,115782.428576
420,137479.261996,0.0,116915.240739
421,159358.218528,0.0,144821.773679
422,121357.706271,0.0,131627.210437
423,60072.479504,0.0,66969.8772269
424,29370.1647502,0.0,24687.1947778
425,12611.3804642,0.0,10315.5730249
426,23791.4036264,0.0,22181.4408918
427,28119.3704383,0.0,27216.6924118
428,16439.7483871,0.0,14704.3622228
429,11066.372291,0.0,7068.87952887
430,9073.07674506,0.0,8938.20162414
431,20323.4751497,0.0,37249.789741
432,8660.96577366,0.0,2115.09593707
433,26459.3421576,0.0,26726.1713157
434,12501.9848862,0.0,13394.4369613
435,32243.3374615,0.0,27997.1475838
436,18554.7309925,0.0,20857.302111
437,27038.7882943,0.0,16076.9137297
438,5579.28607573,0.0,5550.9806722
439,41979.7026563,0.0,42376.2557842
440,2737.72507304,0.0,3081.52508463
441,10804.4479288,0.0,21906.5870561
442,1181.57138057,0.0,2048.49943945
443,10668.1566965,0.0,11181.0519055
444,1164.83463434,0.0,1614.03156198
445,9124.25825824,0.0,9272.2207858
446,34961.5979251,0.0,35195.1401305
447,2160.12644088,0.0,2225.6245749
448,38833.6076913,0.0,38785.0814888
449,56834.1737102,0.0,56685.6772317
450,41100.9902549,0.0,41053.9510145
451,66851.2521749,0.0,79970.2152159
452,9077.06300483,0.0,15329.8950178
453,22962.6310111,0.0,23663.7639418
454,10284.9630867,0.0,19410.9883225
455,29530.6854464,0.0,82461.4252965
456,19485.6706211,0.0,27300.8786322
457,11038.7931455,0.0,12251.5962363
458,9215.44633285,0.0,16680.602735
459,9670.8406658,0.0,3302.40758653
460,18375.7168343,0.0,15884.3337588
461,10214.8864059,0.0,9806.6799394
462,87505.3482643,0.0,70036.8481934
