,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,poi_total
11516,12453,0,2,0,9,1,0,0,0,34,2,48
11517,12454,0,1,0,1,0,0,1,0,10,4,17
11518,12455,0,1,0,0,0,0,1,0,7,0,9
11519,12456,0,1,0,0,0,0,2,0,7,1,11
11520,12457,0,0,0,0,0,0,2,0,4,1,7
11521,12458,0,0,0,0,0,0,1,0,4,3,8
11522,12459,0,0,0,0,0,0,0,0,5,6,11
11523,12460,0,1,0,0,0,0,0,0,3,4,8
11524,12461,0,0,0,0,0,0,0,0,1,2,3
11525,12462,0,1,0,0,0,0,0,0,2,1,4
11526,12463,0,4,0,0,0,0,0,0,3,0,7
11527,12464,0,0,0,0,0,0,0,0,0,1,1
11528,12466,0,4,0,0,0,0,0,0,1,1,6
11529,12467,0,3,0,0,0,0,0,0,0,0,3
11530,12468,0,1,0,1,0,0,0,0,0,2,4
11531,12469,0,1,0,1,0,0,0,0,0,0,2
11532,12470,0,5,0,0,0,0,0,0,6,5,16
11533,12471,0,0,0,0,0,0,0,0,12,5,17
11534,12472,0,0,0,1,0,0,0,0,6,1,8
11535,12473,0,2,0,1,0,0,0,1,0,2,6
11536,12474,0,0,0,1,0,0,0,2,0,4,7
11537,12475,0,1,0,1,0,0,0,0,0,1,3
11538,12476,0,0,0,0,0,0,0,0,0,0,0
11539,12477,0,0,0,0,1,0,0,1,0,2,4
11540,12478,0,3,0,0,1,1,0,0,19,0,24
11541,12479,0,1,0,0,0,0,0,1,0,1,3
11542,12480,0,0,0,2,0,0,0,0,7,3,12
11543,12481,0,0,0,1,0,0,0,0,3,2,6
11544,12482,0,0,0,1,0,0,0,0,0,1,2
11545,12483,0,0,0,0,0,0,0,0,0,4,4
11546,12486,0,0,0,0,0,0,0,0,0,1,1
11547,12487,0,0,0,0,0,0,0,1,0,1,2
11548,12488,0,0,0,0,0,0,0,1,0,1,2
11549,12489,0,1,0,0,0,0,0,1,0,1,3
11550,12490,0,1,0,0,0,0,0,0,0,1,2
11551,12491,0,5,0,0,0,0,0,0,16,2,23
11552,12492,0,12,0,1,1,0,0,1,10,4,29
11553,12493,0,4,0,0,0,0,0,0,4,0,8
11554,12494,0,10,0,1,0,0,0,0,4,1,16
11555,12495,0,1,0,0,0,0,0,0,0,0,1
11556,12497,0,0,0,0,0,0,2,0,0,2,4
11557,12498,0,0,0,0,0,0,1,0,0,0,1
11558,12499,0,0,1,0,0,0,0,0,0,0,1
11559,12500,0,1,0,0,0,0,0,0,0,5,6
11560,12501,0,0,0,0,0,0,1,0,0,4,5
11561,12502,0,2,1,1,1,0,1,0,0,1,7
11562,12503,0,1,0,0,0,0,0,0,0,0,1
11563,12504,0,1,0,2,0,0,0,0,18,1,22
11564,12505,0,0,0,1,0,0,0,0,19,3,23
11565,12506,0,2,0,4,0,0,0,0,16,4,26
11566,12507,0,4,0,1,0,0,0,0,14,14,33
11567,12508,0,0,0,1,0,0,1,0,6,2,10
11568,12509,0,0,0,1,0,0,0,0,3,2,6
11569,12510,0,0,0,1,0,0,0,0,2,2,5
11570,12511,0,0,0,1,0,0,0,0,1,2,4
11571,12512,0,2,0,4,0,0,0,0,2,2,10
11572,12513,0,5,0,2,0,0,0,0,3,1,11
11573,12514,0,2,0,0,0,0,0,0,0,0,2
11574,12515,0,2,0,0,0,0,0,0,0,0,2
11575,12516,0,2,0,0,0,0,0,1,0,0,3
11576,12517,0,3,0,2,0,0,0,0,0,1,6
11577,12518,0,0,0,1,0,0,0,0,1,0,2
11578,12519,0,0,0,2,0,0,0,0,3,1,6
11579,12520,0,1,0,3,0,0,0,0,19,2,25
11580,12521,0,0,0,0,0,0,0,0,12,0,12
11581,12522,0,2,0,0,0,0,0,0,14,0,16
11582,12523,0,2,0,0,0,0,0,0,4,0,6
11583,12524,0,2,0,0,0,0,0,0,11,6,19
11584,12525,0,3,0,0,0,0,2,0,15,9,29
11585,12526,0,0,0,1,0,0,0,0,1,7,9
11586,12527,0,0,0,1,0,0,0,0,0,6,7
11587,12528,0,0,0,1,0,0,0,0,1,9,11
