index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,crime_total_neighbor
2136,4.0,2.0,85.0,26.0,0.0,200.0,33.670360110803315,429.0,5.7142857142857135,77.28571428571429,21.714285714285715,184.42857142857144
2137,2.0,2.0,31.0,0.0,0.0,144.0,2.0,68.0,4.285714285714286,44.714285714285715,0.0,110.42857142857143
2138,0.0,3.9464831804281344,39.0,0.0,0.0,12.0,33.670360110803315,30.0,4.0,11.5,0.0,7.5
2139,2.0,7.719370860927152,4.0,0.0,0.0,53.0,160.36049058256683,603.3206537460227,5.833333333333332,54.5,40.16666666666666,67.33333333333333
2140,5.0,10.0,27.0,0.0,0.0,388.0,1.0,3179.0,25.91666666666667,119.0,77.75,357.5
2141,10.0,4.0,8.0,0.0,0.0,179.0,1.0,407.0,11.722222222222221,47.0,2.2222222222222223,150.0
2142,18.0,10.0,52.0,40.0,1.0,316.0,32.0,339.0,23.625,67.875,37.25,395.125
2143,41.0,12.0,107.0,62.0,0.0,422.0,2.0,170.0,20.1,61.2,33.9,390.4
2144,25.0,17.0,60.0,39.0,1.0,376.0,42.0,416.0,24.75,72.75,36.125,398.375
2145,19.0,15.0,28.0,6.0,2.0,335.0,548.8022121014964,9.0,26.44444444444445,67.8888888888889,28.33333333333333,412.77777777777777
2146,29.0,16.0,53.0,8.0,1.0,382.0,66.0,232.0,23.555555555555557,64.55555555555556,30.33333333333333,447.66666666666674
2147,20.0,2.0,28.0,5.0,1.0,309.0,548.8022121014964,500.7763157894737,23.0,56.8,25.9,472.9
2148,32.0,7.0,40.0,25.0,2.0,507.0,1.0,1744.0,21.3,55.3,20.7,470.6
2149,17.0,7.0,54.0,38.0,1.0,530.0,88.0,469.0,20.818181818181817,57.54545454545455,18.181818181818183,501.6363636363636
2150,36.0,13.0,37.0,14.0,0.0,603.0,2.0,51.0,18.30769230769231,60.53846153846154,18.384615384615387,527.8461538461538
2151,15.0,6.0,28.0,12.0,0.0,575.0,8.0,22.0,17.416666666666668,52.58333333333334,8.833333333333334,544.8333333333334
2152,26.0,18.0,50.0,12.0,2.0,538.0,3.0,200.0,20.63636363636364,55.63636363636363,9.272727272727273,611.4545454545455
2153,48.0,31.0,78.0,21.0,2.0,754.0,70.0,1198.0,16.923076923076927,47.153846153846146,7.6923076923076925,535.6153846153846
2154,41.0,35.0,87.0,39.0,1.0,553.0,30.0,2275.0,22.72727272727273,56.54545454545455,17.272727272727273,492.1818181818182
2155,70.0,29.0,156.0,85.0,2.0,502.0,50.0,3099.0,28.142857142857146,67.14285714285714,18.428571428571427,380.28571428571433
2156,52.0,30.0,49.0,18.0,3.0,266.0,31.0,357.0,36.785714285714285,54.85714285714285,26.07142857142857,212.64285714285717
2157,36.0,19.0,43.0,0.0,4.0,191.0,19.0,1.0,37.846153846153854,49.153846153846146,21.384615384615387,200.84615384615384
2158,3.0,3.4166666666666665,1.0,0.0,0.0,15.0,4.0,77.0,4.0,14.0,4.705882352941177,15.882352941176471
2159,5.0,3.4166666666666665,1.0,0.0,0.0,16.0,4.0,77.0,3.5789473684210527,12.842105263157894,5.684210526315789,17.42105263157895
2160,5.0,4.728971962616822,0.0,0.0,0.0,14.0,273.5555555555556,309.99152542372883,3.9444444444444446,18.722222222222214,13.222222222222221,26.5
2161,3.0,4.728971962616822,0.0,0.0,0.0,11.0,273.5555555555556,309.99152542372883,3.5,8.833333333333334,6.0555555555555545,18.555555555555557
2162,5.0,4.728971962616822,0.0,0.0,0.0,7.0,273.5555555555556,309.99152542372883,3.2857142857142856,2.142857142857143,0.0,7.5
2163,3.0,4.728971962616822,0.0,0.0,0.0,0.0,273.5555555555556,309.99152542372883,2.9090909090909087,0.09090909090909093,0.0,2.4545454545454546
2164,2.0,4.728971962616822,0.0,0.0,0.0,0.0,273.5555555555556,309.99152542372883,2.9090909090909087,0.18181818181818185,0.0,1.181818181818182
2165,4.0,2.4230769230769234,15.0,0.0,0.0,13.0,2.1111111111111107,16.185185185185187,5.6,20.0,0.6,11.2
2166,18.0,2.0,51.0,24.0,1.0,183.0,3.0,3609.0,18.555555555555557,80.1111111111111,49.55555555555557,157.44444444444446
2167,1.0,1.0,13.0,0.0,0.0,12.0,188.3599257884972,34.0,3.1666666666666665,20.5,2.1666666666666665,12.5
2168,1.0,10.763688760806916,14.0,0.0,0.0,12.0,188.3599257884972,51.0,2.1666666666666665,14.833333333333336,0.16666666666666666,11.5
2169,2.0,10.763688760806916,9.0,0.0,0.0,7.0,188.3599257884972,11.0,1.0,6.5,0.0,5.833333333333332
2170,1.0,10.763688760806916,8.0,0.0,0.0,1.0,17.0,52.0,1.2,8.2,0.0,8.6
2171,1.0,3.4545454545454546,3.0,0.0,0.0,15.0,4.1951219512195115,76.0,1.9,12.6,0.0,12.5
2172,0.0,3.4545454545454546,4.0,0.0,0.0,13.0,4.1951219512195115,10.0,1.0,10.5,0.0,13.0
2173,1.0,3.4545454545454546,2.0,0.0,0.0,12.0,4.1951219512195115,133.65384615384616,1.5714285714285714,17.428571428571427,0.0,13.571428571428573
2174,16.0,13.851239669421489,34.0,28.0,0.0,10.0,548.8022121014964,327.0,20.533333333333328,99.46666666666668,89.46666666666668,21.133333333333333
2175,16.0,13.851239669421489,43.0,36.0,0.0,17.0,548.8022121014964,7.0,20.214285714285715,126.85714285714286,114.71428571428572,23.57142857142857
2176,58.0,34.0,1028.0,1007.0,5.0,121.0,13.0,8956.0,48.25,952.5,921.0,115.0
2177,42.0,17.0,411.0,397.0,7.0,115.0,14.0,10772.0,44.714285714285715,548.7142857142857,520.1428571428571,165.85714285714286
2178,65.0,9.0,933.0,901.0,3.0,217.0,18.0,28.0,49.77777777777778,309.8888888888889,278.8888888888889,159.44444444444446
2179,5.0,5.0,94.0,0.0,0.0,94.0,4.0,881.0,11.666666666666664,44.0,0.0,82.66666666666667
2180,4.0,2.0,15.0,0.0,0.0,45.0,1.0,149.0,5.285714285714286,27.285714285714285,0.0,39.857142857142854
2181,4.0,3.0,42.0,1.0,1.0,42.0,160.36049058256683,48.0,7.7142857142857135,35.0,1.5714285714285714,36.857142857142854
2182,3.0,1.0,43.0,0.0,0.0,21.0,160.36049058256683,603.3206537460227,5.4375,15.3125,0.0,17.1875
2183,4.0,1.0,18.0,0.0,0.0,10.0,160.36049058256683,82.0,4.916666666666667,13.25,0.0,15.583333333333336
2184,5.0,1.0,46.0,0.0,0.0,27.0,1.0,1.0,4.416666666666667,12.25,0.08333333333333333,19.416666666666668
