index_seg,d_auth_score_SgAsNd,d_btw_cntr_SgAsNd,d_clo_cntr_SgAsNd,d_far_cntr_SgAsNd,d_hub_score_SgAsNd,d_in_deg_SgAsNd,d_node_ecc_SgAsNd,d_out_deg_SgAsNd,d_page_rank_SgAsNd,ud_art_pt_SgAsNd,ud_auth_score_SgAsNd,ud_bridge_SgAsNd,ud_btw_cntr_SgAsNd,ud_clo_cntr_SgAsNd,ud_deg_cntr_SgAsNd,ud_eig_cntr_SgAsNd,ud_far_cntr_SgAsNd,ud_hub_score_SgAsNd,ud_node_ecc_SgAsNd,ud_page_rank_SgAsNd
664,6.96507357723e-08,64109.915886,0.0260256935995,38.4235677016,4.77121412628e-08,0.000369904564622,81.0,0.000295923651698,0.000120433025143,,3.14230526191e-08,,45174.9836475,0.028803032484,0.000369904564622,2.11932461212e-10,34.7185665452,2.23377176433e-08,76.0,7.4210194464e-05
665,7.65572655606e-08,75453.6407836,0.0258334152725,38.7095546388,5.0867733334e-08,0.000369904564622,81.0,0.000295923651698,0.00013141813155,,5.0048919652e-08,,116427.040396,0.0287210601179,0.000369904564622,3.69154374876e-10,34.8176563085,3.58768079114e-08,76.0,7.40662159711e-05
666,5.12360674566e-08,30476.7424127,0.0257226415403,38.8762560966,3.65057568164e-08,0.000295923651698,82.0,0.000221942738773,0.000114465314732,,9.74552870687e-08,,12068.001526,0.0285033882095,0.000369904564622,7.6613959603e-10,35.0835484066,7.03097654172e-08,77.0,7.31258760351e-05
667,1.22905270885e-07,25100.3533547,0.0257137654574,38.889675713,7.43874888547e-08,0.000295923651698,82.0,0.000221942738773,9.92278173951e-05,,1.66545741511e-07,,11925.3280822,0.0284578277366,0.000369904564622,1.35447203121e-09,35.1397165397,1.2058028894e-07,77.0,7.20715663367e-05
668,3.98082444543e-07,29042.3300077,0.0257255522566,38.8718574445,2.82357027525e-07,0.000369904564622,83.0,0.000295923651698,9.79594259989e-05,,4.23922534158e-07,,13587.0193126,0.0282408661729,0.000369904564622,3.58195511129e-09,35.4096787924,3.08146295479e-07,78.0,6.96616229122e-05
669,4.31795645501e-07,59686.1115001,0.025819789765,38.7299822772,3.24831706541e-07,0.000369904564622,83.0,0.000369904564622,9.16213063908e-05,,7.32928589993e-07,,66742.989511,0.0285091611938,0.000443885477547,6.25257339793e-09,35.0764441368,5.33297460961e-07,78.0,7.90976471153e-05
670,2.54916963831e-07,41195.4499529,0.0254187118278,39.3410966998,1.86037789704e-07,0.000295923651698,84.0,0.000295923651698,7.5872327397e-05,,1.00281190285e-06,,78820.4368502,0.0281698074537,0.000443885477547,8.64325558636e-09,35.4990001846,7.30459759228e-07,79.0,7.78638528096e-05
671,4.35973339289e-07,16376.294747,0.0251888242468,39.7001459933,3.23914157863e-07,0.000369904564622,85.0,0.000369904564622,9.02464510292e-05,,1.17026008874e-06,,17796.6086753,0.0281121412824,0.000443885477547,1.0152977326e-08,35.5718189502,8.5302365343e-07,80.0,7.85598142332e-05
672,4.62896543966e-07,18818.2701808,0.0250979541803,39.8438849962,3.44922251173e-07,0.000369904564622,86.0,0.000369904564622,9.28468151745e-05,,7.51211234576e-07,,18477.2388814,0.0279477740764,0.000369904564622,6.53256973898e-09,35.7810248954,5.47706552509e-07,81.0,7.15485500907e-05
673,4.11692652011e-07,11843.4349759,0.0249152045761,40.1361344212,3.11207069903e-07,0.000295923651698,86.0,0.000295923651698,8.029213289e-05,,2.33555729855e-07,,6361.20742716,0.0276936388369,0.000295923651698,2.03056764192e-09,36.1093753655,1.7027984143e-07,82.0,6.4571652566e-05
674,4.84459568209e-07,4606.22404084,0.0249688662528,40.0498761088,3.67712670164e-07,0.000295923651698,86.0,0.000295923651698,8.02706847374e-05,,8.10266433499e-08,,13442.8454794,0.0277615711819,0.000295923651698,7.00394688222e-10,36.0210160098,5.90366953626e-08,82.0,6.74602457588e-05
675,8.20426549021e-07,25037.1663149,0.0250551044263,39.9120268264,6.24163126518e-07,0.000295923651698,85.0,0.000295923651698,7.65256549979e-05,,3.75921565777e-08,,19483.5139001,0.0279624056316,0.000295923651698,3.1671533745e-10,35.7623021843,2.73151938485e-08,82.0,6.81488454395e-05
676,8.37886328482e-07,13923.7424695,0.0249580875695,40.0671725033,6.36493187654e-07,0.000295923651698,85.0,0.000295923651698,6.74505686417e-05,,1.50898088698e-08,,8185.37460551,0.0276768493819,0.000295923651698,1.19596190987e-10,36.1312801974,1.08962297438e-08,82.0,6.99506823081e-05
677,5.77114570755e-07,9962.47662592,0.025183716621,39.7081977632,4.35135052931e-07,0.000295923651698,85.0,0.000295923651698,6.77240762836e-05,,5.41580047039e-09,,4138.55397041,0.0278198683552,0.000295923651698,3.78991742862e-11,35.9455331431,3.86518449417e-09,82.0,7.08571435071e-05
678,1.32047753335e-06,32532.7633504,0.0254832300018,39.2414933243,1.02324443358e-06,0.000295923651698,84.0,0.000295923651698,8.12701634117e-05,,7.95539948145e-09,,35531.8155478,0.0282631936298,0.000295923651698,4.44218797624e-11,35.38170573,5.58014861748e-09,81.0,6.85434634352e-05
679,1.60740687299e-06,2911.96128236,0.0257405108961,38.8492677568,1.13191693659e-06,0.000295923651698,84.0,0.000221942738773,9.08407137037e-05,,8.99480680381e-09,,2651.52098534,0.0281500899851,0.000295923651698,4.51839890525e-11,35.523865129,6.26717240055e-09,81.0,6.92115777228e-05
680,2.01226654641e-06,23198.2498506,0.0262952878645,38.0296274052,1.42337990078e-06,0.000295923651698,83.0,0.000221942738773,8.70017436424e-05,,1.2226205897e-08,,22641.9358974,0.0286463528971,0.000295923651698,5.03105495814e-11,34.908457757,8.42887956718e-09,80.0,6.87708101738e-05
681,1.89415278048e-06,27644.6177472,0.0266573922221,37.5130467252,1.56714517976e-06,0.000221942738773,83.0,0.000295923651698,6.24325763848e-05,,1.61832034528e-08,,32642.6285053,0.028935946689,0.000295923651698,6.2539534532e-11,34.5590904887,1.11299505775e-08,80.0,6.76656209459e-05
682,1.67169115816e-06,33607.6968765,0.0272272395088,36.7279246093,1.37323472224e-06,0.000221942738773,82.0,0.000295923651698,5.26870131382e-05,,2.84787801357e-08,,12703.3544695,0.0292846050402,0.000295923651698,1.04745140471e-10,34.1476348623,1.95620402964e-08,79.0,6.53387722252e-05
683,1.53818589582e-06,212908.28492,0.027929212993,35.8048041042,1.15596604879e-06,0.000295923651698,81.0,0.000295923651698,6.9562072649e-05,,6.59325839597e-08,,144704.483858,0.0299343634787,0.000369904564622,2.40702564024e-10,33.4064227125,4.53005224855e-08,78.0,7.31164461503e-05
684,4.93909455568e-05,172047.006616,0.0248812349063,40.1909311884,4.4302234188e-05,0.000295923651698,93.0,0.000295923651698,6.25408116891e-05,,4.02037776095e-08,,107810.882315,0.0256085664394,0.000295923651698,3.69378077128e-10,39.0494330233,2.8883291668e-08,92.0,6.07107071721e-05
685,2.77179662938e-05,46233.6314231,0.025259597759,39.5889122836,2.41500065456e-05,0.000369904564622,92.0,0.000369904564622,6.67740176055e-05,,3.46118946865e-08,,59972.77843,0.0260307412316,0.000369904564622,2.4572731476e-10,38.4161169712,2.43906911608e-08,91.0,7.27943897367e-05
686,3.35206874609e-05,308287.863235,0.0257067182679,38.9003368527,2.93638594551e-05,0.000369904564622,91.0,0.000369904564622,6.04475692292e-05,,5.25046942252e-08,,641092.578958,0.0265199990107,0.000443885477547,3.58569294405e-10,37.7073920552,3.69758051015e-08,90.0,8.2448893261e-05
687,9.65799379068e-05,105415.433759,0.0257093789904,38.8963109678,8.63886868249e-05,0.000369904564622,91.0,0.000369904564622,6.86883828752e-05,,7.13732098509e-08,,129114.384701,0.0265229660183,0.000443885477547,5.13740203603e-10,37.703173895,5.06168897872e-08,90.0,8.10471436163e-05
688,0.00020553686298,41585.6258412,0.0251252215857,39.8006440099,0.00018450736373,0.000369904564622,92.0,0.000369904564622,7.47163967877e-05,,8.34505250517e-08,,48644.8810013,0.0259035480478,0.000369904564622,6.43048237485e-10,38.6047501351,5.97828804366e-08,91.0,6.97210677031e-05
689,0.000445671353566,69158.6215709,0.0245452616519,40.7410609095,0.000401282411211,0.000369904564622,93.0,0.000369904564622,7.80389706187e-05,,1.39019445591e-07,,75322.4608093,0.0252897102452,0.000369904564622,1.16101953484e-09,39.5417737215,1.00708482916e-07,92.0,7.11152896525e-05
690,0.0009050533813,30624.6793964,0.0240437668623,41.5908208447,0.00081570001983,0.000443885477547,94.0,0.000443885477547,9.21559468699e-05,,2.6470571574e-07,,31413.4069616,0.0247590609695,0.000443885477547,2.27915408419e-09,40.3892539072,1.92561793502e-07,93.0,8.4972685924e-05
691,0.00184156700824,19748.1219136,0.0235427513074,42.4759191032,0.00166084310276,0.000443885477547,95.0,0.000443885477547,8.84661480683e-05,,5.26448342736e-07,,19542.9410105,0.0242304814823,0.000443885477547,4.59673422686e-09,41.2703313688,3.83682227068e-07,94.0,8.42364202176e-05
692,0.003040745836,30331.2299704,0.0239752190848,41.7097335571,0.00274279640466,0.000443885477547,94.0,0.000443885477547,8.56856643754e-05,,8.64563381969e-07,,33158.4492848,0.0246969317466,0.000443885477547,7.57865167794e-09,40.490859766,6.30426734833e-07,93.0,8.26987363465e-05
693,0.0022508831806,2031.29676441,0.0239202350514,41.8056092613,0.00203040469964,0.000369904564622,94.0,0.000369904564622,7.56124998287e-05,,6.39138463214e-07,,2313.027656,0.0246388866934,0.000369904564622,5.60804399468e-09,40.5862493887,4.66108183721e-07,93.0,7.42344452693e-05
694,0.0006185502739,2071.03897667,0.0243928698237,40.9955863016,0.000557827730385,0.000295923651698,93.0,0.000295923651698,6.67569793221e-05,,1.76353723433e-07,,2069.36762631,0.0251461732634,0.000295923651698,1.54089465943e-09,39.7674822935,1.28547480031e-07,92.0,6.60007701213e-05
695,1.00377471207e-05,19127.0362415,0.0237256057685,42.1485550151,8.31766367983e-06,0.000221942738773,94.0,0.000221942738773,6.07040973947e-05,,1.10605661047e-08,,19222.9487083,0.0244426562525,0.000221942738773,7.5675103566e-11,40.9120837633,7.92197485761e-09,93.0,6.00565821137e-05
696,3.67242241551e-05,1585.54082849,0.0232340852344,43.040213975,3.0450438913e-05,0.000369904564622,95.0,0.000369904564622,8.69924941311e-05,,4.61658826201e-08,,1563.05410795,0.0239224883352,0.000369904564622,3.17023227807e-10,41.8016715481,3.30868700295e-08,94.0,8.60350891432e-05
697,9.49514071233e-05,8119.80427075,0.0232425398926,43.0245577558,7.85556850832e-05,0.000443885477547,95.0,0.000443885477547,9.00049702876e-05,,1.39371661335e-07,,8077.04331311,0.0239313852964,0.000443885477547,9.60810818956e-10,41.7861309579,9.99499054672e-08,94.0,8.88080257363e-05
698,0.00016111612863,3078.7263407,0.0227415994744,43.9722808911,0.000134367360632,0.000443885477547,96.0,0.000443885477547,8.32532127372e-05,,3.07807907596e-07,,2979.84584558,0.0234024981875,0.000443885477547,2.13053165969e-09,42.7304808225,2.20889548305e-07,95.0,8.20245902804e-05
699,0.000211141260891,60467.7430827,0.022739556107,43.9762322226,0.000169563847581,0.000443885477547,96.0,0.000443885477547,7.76667417591e-05,,6.01655984887e-07,,54588.5720836,0.0234005124041,0.000443885477547,4.17787851531e-09,42.7341069603,4.31999640075e-07,95.0,7.8784636371e-05
700,0.000235437714957,167531.655735,0.0222466584806,44.9505709305,0.000232818781709,0.000443885477547,97.0,0.000591847303396,6.73599141998e-05,,1.29026957605e-06,,153583.62827,0.0228806260482,0.000591847303396,8.9707087709e-09,43.7050978366,9.26659983808e-07,96.0,9.84319630553e-05
701,0.000193983238245,24790.235841,0.0217730848305,45.9282645425,0.000197555473336,0.000369904564622,98.0,0.000517866390471,5.54793029373e-05,,1.16697329581e-06,,25294.7876071,0.0223817439572,0.000517866390471,8.10834932754e-09,44.6792708339,8.38060400679e-07,97.0,8.73232624673e-05
702,0.000146518451219,16852.3733436,0.021318643314,46.9073001161,0.000115040708932,0.000369904564622,99.0,0.000369904564622,6.46543857662e-05,,4.34226029283e-07,,17148.2230501,0.021903513503,0.000369904564622,2.9994459343e-09,45.6547758817,3.11615213679e-07,98.0,6.82009402293e-05
703,0.000114788765538,1605.17523665,0.0208882473544,47.8738107144,9.58648589413e-05,0.000369904564622,100.0,0.000369904564622,6.97238062817e-05,,2.2557523608e-07,,1579.70483886,0.0214510114278,0.000369904564622,1.54309934257e-09,46.6178484574,1.61685067919e-07,99.0,7.01004274257e-05
704,8.0999251759e-05,5315.61053481,0.0208808983718,47.8906597884,6.69338266033e-05,0.000369904564622,100.0,0.000369904564622,7.25224789738e-05,,1.15987219111e-07,,5240.6990873,0.0214434885553,0.000369904564622,7.84028834646e-10,46.6342030785,8.30104465608e-08,99.0,7.21825504245e-05
705,5.08123663012e-05,13585.0708984,0.0204807007346,48.8264543757,4.20839107473e-05,0.000369904564622,101.0,0.000369904564622,7.60202744596e-05,,6.56478824019e-08,,13455.3574135,0.0210225164727,0.000369904564622,4.41224075667e-10,47.568044544,4.69477200096e-08,100.0,7.55581634135e-05
706,1.65678155437e-05,3781.28162268,0.0200719485413,49.8207734015,1.36765446831e-05,0.000295923651698,102.0,0.000295923651698,6.65574391975e-05,,1.71180696184e-08,,3702.51406012,0.0205936234839,0.000295923651698,1.12750398801e-10,48.558720168,1.22098878058e-08,101.0,6.61014770955e-05
707,7.34591294352e-06,7275.60271937,0.0200458209643,49.8857094344,6.0532874883e-06,0.000369904564622,102.0,0.000369904564622,8.42957234943e-05,,6.69068682382e-09,,7222.19732634,0.0205668247458,0.000369904564622,4.33139479876e-11,48.621992571,4.760453022e-09,101.0,8.3728217121e-05
708,3.55224993557e-06,0.0,0.019677576061,50.819267419,2.92224734247e-06,0.000221942738773,103.0,0.000221942738773,5.46644894566e-05,,3.30605669796e-09,,0.0,0.0201801929998,0.000221942738773,2.1433446477e-11,49.5535399494,2.35215399554e-09,102.0,5.42996859126e-05
709,1.01973771705e-05,0.0,0.024231278612,41.2689737101,7.79977543593e-06,0.000147961825849,94.0,7.39809129245e-05,5.98482499024e-05,,4.73942983729e-08,,0.0,0.0251012843133,0.000147961825849,5.48147278145e-10,39.8385989944,3.4836212489e-08,93.0,3.67178823462e-05
710,5.14448626233e-05,19567.0551902,0.0248353500734,40.2651863994,4.50025395675e-05,0.000369904564622,93.0,0.000295923651698,0.000132660767545,,8.51484192781e-08,,18471.5650686,0.0256496408631,0.000369904564622,9.32589184475e-10,38.9869006485,6.22297672619e-08,92.0,7.57825803398e-05
711,6.18308094003e-05,21630.0086262,0.0253119840812,39.5069780698,5.56822568436e-05,0.000369904564622,92.0,0.000369904564622,0.000102053943562,,6.18341019611e-08,,20415.8642518,0.0260869738801,0.000369904564622,6.16853098399e-10,38.3333078263,4.47790505907e-08,91.0,7.31359991462e-05
712,0.000580683295111,42987.4057433,0.023914051269,41.8164195079,0.000523204919208,0.000295923651698,94.0,0.000295923651698,6.34681868677e-05,,1.69665827147e-07,,40037.8460352,0.024635158463,0.000295923651698,1.44845679515e-09,40.592391622,1.23343238214e-07,93.0,6.20681699229e-05
713,2.08773474236e-05,222479.060988,0.024277724564,41.1900216333,1.73323296969e-05,0.000295923651698,93.0,0.000295923651698,6.99487286363e-05,,2.14342520695e-08,,224193.755942,0.0250270407899,0.000295923651698,1.46492120273e-10,39.9567814827,1.53476154576e-08,92.0,6.89822114283e-05
714,2.26547937347e-06,850.279501102,0.0280972970279,35.5906121149,1.77419742727e-06,0.000221942738773,69.0,0.000221942738773,5.28580730072e-05,,2.39997397831e-08,,48.1341856357,0.031529114898,0.000221942738773,1.95436895299e-10,31.7167165407,1.67265983179e-08,68.0,5.17695269199e-05
715,6.08080771299e-07,451183.205142,0.0296686574749,33.7056033239,4.67078214878e-07,0.000221942738773,65.0,0.000221942738773,7.45350686402e-05,,1.88860887296e-08,,216152.412707,0.0330362934613,0.000295923651698,5.09966317035e-10,30.2697395872,1.31866304146e-08,65.0,6.34272804416e-05
716,2.22674717497e-06,932010.986803,0.0296353578469,33.7434764636,1.71650842712e-06,0.000369904564622,66.0,0.000369904564622,0.000108532317967,,4.62924420386e-08,,354014.858792,0.0332334018576,0.000443885477547,1.12982053936e-09,30.090208769,3.23379205361e-08,65.0,8.75455685135e-05
