index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,parking_total_neighbor
612,17.0,11.0,40.0,1.0,2.0,207.0,14.0,705.0,15.75,5.833333333333332,28.0,0.5833333333333334,0.4166666666666667,165.58333333333334,643.4166666666666
613,7.0,6.0,31.0,2.0,1.0,151.0,5.0,72.0,11.818181818181818,5.0,24.09090909090909,1.9090909090909087,0.6363636363636364,194.3636363636364,1089.090909090909
614,6.0,5.0,13.0,3.0,1.0,207.0,12.0,622.0,9.538461538461537,5.439951604686704,28.84615384615385,2.230769230769231,0.6923076923076923,244.4615384615384,1502.7692307692307
615,8.0,7.0,21.0,5.0,1.0,231.0,11.0,54.0,8.333333333333334,5.643280905077263,29.08333333333333,2.25,0.8333333333333334,283.4166666666667,1616.083333333333
616,4.0,8.0,57.0,4.0,3.0,380.0,160.36049058256683,3097.0,10.363636363636363,6.974488260084287,36.36363636363637,5.363636363636363,1.0,328.54545454545456,1651.1818181818182
617,30.0,13.0,147.0,38.0,4.0,578.0,11.0,1940.0,20.8,18.9,40.7,10.0,1.3,504.0,1794.2
618,35.0,13.0,51.0,5.0,2.0,546.0,82.0,1021.0,25.777777777777786,18.555555555555557,52.444444444444436,10.777777777777779,0.8888888888888888,576.4444444444445,2121.1111111111113
619,13.0,9.0,80.0,0.0,2.0,458.0,2.0,1537.0,14.222222222222221,5.222222222222221,36.111111111111114,2.5555555555555562,1.4444444444444444,437.77777777777777,1089.3333333333333
620,18.0,18.0,69.0,14.0,5.0,390.0,5.0,633.0,12.6,7.2,29.6,3.9,1.6,315.8,583.2
621,15.0,18.0,54.0,14.0,3.0,308.0,11.0,978.0,14.333333333333336,9.333333333333334,35.333333333333336,11.0,1.6666666666666667,263.0,1012.3333333333336
622,11.0,8.0,56.0,0.0,3.0,279.0,5.0,284.0,8.6,7.6,31.8,0.0,1.6,232.0,973.8
623,10.0,8.0,57.0,0.0,4.0,200.0,11.0,390.0,12.571428571428573,10.285714285714286,36.714285714285715,0.0,2.142857142857143,246.57142857142856,785.8571428571429
624,9.0,18.0,52.0,0.0,5.0,245.0,3.0,522.0,12.0,12.125,36.625,0.0,2.5,250.875,1002.5
625,11.0,14.0,33.0,0.0,3.0,183.0,3.0,664.0,13.9,11.6,37.3,0.0,1.4,250.7,942.9
626,19.0,17.0,76.0,0.0,0.0,219.0,11.0,564.0,17.4,12.1,35.1,0.1,0.8,249.3,1129.4
627,24.0,20.0,48.0,0.0,3.0,282.0,3.0,723.0,20.75,16.625,47.375,0.125,1.75,277.375,1497.625
