index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,moving_total_neighbor,parking_total_neighbor
38,6.0,16.0,48.0,0.0,0.0,184.0,2.0,62.0,9.545454545454543,9.363636363636363,34.54545454545455,0.7272727272727273,0.7272727272727273,183.72727272727272,64.04017839366067,464.75642306782026
39,4.0,11.0,27.0,2.0,2.0,149.0,16.0,794.0,7.9230769230769225,9.074125874125873,30.30769230769231,0.5384615384615384,0.9230769230769232,158.23076923076925,30.682679024536906,255.7296037296037
40,1.0,1.0,18.0,2.0,4.0,126.0,160.36049058256683,17.0,7.125,8.247727272727273,28.875,0.4375,0.6875,155.5,26.807881835641364,288.2329545454545
41,1.0,2.0,14.0,0.0,3.0,124.0,160.36049058256683,11.0,6.2857142857142865,4.711688311688311,21.785714285714285,0.5714285714285714,0.7857142857142857,141.5,28.280436383590132,230.4090909090909
42,2.0,2.0,31.0,0.0,1.0,147.0,160.36049058256683,460.0,5.875,2.939278860626129,20.1875,0.375,0.75,143.5,36.80660487577188,251.53030303030303
43,4.0,3.0,17.0,0.0,0.0,138.0,1.0,59.0,5.2,2.6719370860927154,23.4,0.3,0.7,152.1,69.21123224410708,422.0
44,5.0,1.0,9.0,0.0,1.0,143.0,3.0,668.0,4.090909090909091,3.403521974714028,25.0,0.4545454545454545,0.2727272727272727,165.54545454545453,65.52569841380671,474.8181818181818
45,3.0,6.0,24.0,1.0,1.0,133.0,3.0,54.0,4.6,4.171937086092715,28.2,0.6,0.2,174.1,40.40617013867403,579.3
46,1.0,4.0,30.0,1.0,0.0,161.0,2.0,438.0,4.111111111111111,4.413263428991906,25.66666666666667,0.6666666666666666,0.3333333333333333,166.88888888888889,58.86131465094487,403.88888888888886
47,3.0,1.0,22.0,1.0,0.0,145.0,2.0,75.0,3.111111111111111,3.524374540103017,22.777777777777782,1.4444444444444444,0.1111111111111111,151.33333333333334,42.932371252881886,470.33333333333326
