,index_seg,cycle_lane,is_shared,cycle_way,side_walk,bikable
2287,4384,,0,,both,
2288,4385,,0,both,,
2289,4386,,0,both,,
2290,4387,,0,both,,yes
2291,4388,,0,both,,yes
2292,4389,,0,both,,yes
2293,4390,,0,,,yes
2294,4392,,0,,,yes
2295,4393,,0,,,yes
2296,4394,,0,,,yes
2297,4404,,0,,both,
2298,4405,,0,,both,
2299,4406,,0,,both,yes
2300,4407,,0,,both,
2301,4408,,0,,both,
2302,4409,,0,,no,
2303,4410,,0,,no,
2304,4411,,0,,both,
2305,4413,,0,,both,
2306,4418,one,0,,both,
2307,4419,one,0,,both,
2308,4420,one,0,,both,
2309,4421,one,0,,both,
2310,4422,one,0,,both,
2311,4423,one,0,,both,
2312,4424,one,0,,both,
2313,4427,one,0,,,
2314,4428,one,0,,,
2315,4429,one,0,,,
2316,4430,one,0,,,
2317,4431,one,0,,,
2318,4432,one,0,,,
2319,4433,one,0,,,
2320,4434,one,0,,,yes
2321,4435,one,0,,,
2322,4436,,0,,both,
2323,4437,,0,,both,
2324,4438,,0,,both,
2325,4439,,0,,both,
2326,4440,,0,,both,
2327,4441,,0,,both,
2328,4442,,0,,both,
2329,4443,,0,,both,
2330,4444,,0,,both,
2331,4445,,0,,both,
2332,4446,,0,,both,
2333,4447,,0,,both,
2334,4448,,0,,both,
2335,4449,,0,,both,
2336,4450,,0,,both,
2337,4451,,0,,both,
2338,4452,,0,,both,
2339,4453,,0,,both,
2340,4454,,0,,both,
2341,4455,,0,,both,
2342,4457,,0,,both,
2343,4464,,0,,both,
2344,4467,,0,,no,
2345,4468,,0,,no,
2346,4469,,0,,no,
2347,4471,one,0,,,
2348,4472,one,0,,,
2349,4473,one,0,,,
2350,4474,one,0,,,
2351,4475,one,0,,,
2352,4476,one,0,,,
2353,4477,one,0,,,
2354,4478,one,0,,,
2355,4479,one,0,,,
2356,4480,one,0,,,
2357,4481,one,0,,,yes
2358,4482,one,0,,,yes
2359,4483,one,0,,,
2360,4484,one,0,,,
2361,4485,one,0,,,
2362,4487,one,0,,,
2363,4488,one,0,,,
2364,4489,one,0,,,
2365,4490,one,0,,,
2366,4491,one,0,,,
2367,4505,,0,,both,
2368,4506,,0,,both,
2369,4507,,0,,both,
2370,4508,,0,,both,
2371,4509,,0,,both,
2372,4510,,0,,both,
2373,4511,,0,,both,
2374,4512,,0,,both,
2375,4513,,0,,both,
2376,4514,,0,,both,
2377,4515,,0,,both,
2378,4521,,0,,no,
2379,4534,,0,,both,
2380,4535,,0,,both,
2381,4536,,0,,both,
2382,4537,,0,,both,
2383,4538,,0,,both,
2384,4540,,0,,no,
2385,4541,,0,,no,
2386,4542,,0,,no,
2387,4543,,0,,no,
2388,4568,,0,both,,yes
2389,4569,,0,both,,
2390,4570,,0,both,,yes
2391,4574,,0,both,,
2392,4577,,0,,both,
2393,4578,,0,,both,
2394,4579,,0,,both,
2395,4580,,0,,both,
2396,4581,,0,,both,
2397,4582,,0,,both,
2398,4583,,0,,both,
2399,4584,both,0,,both,
2400,4585,both,0,,both,
2401,4586,both,0,,both,
2402,4587,both,0,,both,
2403,4588,both,0,,both,
2404,4589,both,0,,both,
2405,4590,,0,,both,
2406,4591,,0,,both,
2407,4594,,0,,,yes
2408,4595,,0,,,yes
2409,4608,,0,,left,
2410,4625,,0,,,yes
2411,4626,,0,,,yes
2412,4627,,0,,,yes
2413,4628,,0,,,yes
2414,4629,both,0,,,
2415,4630,both,0,,,
2416,4631,both,0,,,
2417,4632,both,0,,,
2418,4633,both,0,,,
2419,4634,,0,,both,
2420,4635,,0,,both,
2421,4636,,0,,both,
2422,4640,,0,,right,
2423,4641,,0,,right,
2424,4642,,0,,left,
2425,4643,,0,,both,
2426,4644,,0,,left,
2427,4645,,0,,left,
2428,4646,,0,,left,
2429,4647,,0,,left,
2430,4648,,0,,both,
