index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,crime_total_neighbor
233,6.0,7.719370860927152,15.0,1.0,1.0,58.0,160.36049058256683,85.0,55.7
234,4.0,7.719370860927152,6.0,0.0,0.0,40.0,160.36049058256683,32.0,47.93333333333333
235,1.0,1.0,15.0,0.0,0.0,37.0,160.36049058256683,3.0,37.333333333333336
236,3.0,7.719370860927152,13.0,0.0,0.0,144.0,160.36049058256683,22.0,100.5
237,3.0,1.0,24.0,0.0,0.0,87.0,160.36049058256683,7.0,94.4
238,3.0,7.719370860927152,18.0,0.0,0.0,57.0,160.36049058256683,7.0,74.77777777777777
239,4.0,2.0,33.0,1.0,0.0,54.0,1.0,29.0,62.0
240,4.0,3.0,25.0,0.0,0.0,38.0,160.36049058256683,42.0,48.375
241,9.0,1.0,17.0,0.0,1.0,77.0,160.36049058256683,68.0,73.125
242,8.0,1.0,21.0,0.0,1.0,85.0,160.36049058256683,9.0,83.9090909090909
243,4.0,2.0,10.0,0.0,0.0,77.0,160.36049058256683,603.3206537460227,78.9090909090909
244,35.0,4.0,7.0,3.0,4.0,6.0,160.36049058256683,9534.0,22.0
245,52.0,28.0,312.0,289.0,4.0,38.0,57.0,946.0,29.66666666666667
246,52.0,43.0,157.0,118.0,4.0,140.0,79.0,6612.0,104.0
247,64.0,27.0,122.0,91.0,4.0,149.0,23.0,603.3206537460227,204.8333333333333
248,64.0,10.0,319.0,267.0,2.0,289.0,1.0,8549.0,254.42857142857144
249,82.0,31.0,600.0,526.0,2.0,363.0,25.0,9945.0,382.71428571428567
250,66.0,29.0,220.0,167.0,2.0,498.0,32.0,3690.0,427.22222222222223
251,63.0,38.0,136.0,86.0,1.0,652.0,138.0,9045.0,528.6666666666666
252,114.0,48.0,566.0,408.0,4.0,823.0,2560.0,13540.0,752.0
253,74.0,38.0,891.0,757.0,2.0,817.0,70.0,9159.0,716.6666666666665
254,67.0,67.0,504.0,444.0,2.0,681.0,49.0,5115.0,509.875
255,35.0,36.0,196.0,164.0,3.0,333.0,160.36049058256683,603.3206537460227,439.75
256,16.0,18.0,213.0,174.0,2.0,335.0,17.0,603.3206537460227,439.5
257,33.0,41.0,76.0,24.0,2.0,333.0,85.0,4526.0,363.1428571428572
258,35.0,21.0,461.0,438.0,2.0,193.0,33.0,1385.0,305.25
259,25.0,17.0,70.0,32.0,3.0,255.0,21.0,832.0,304.0
260,20.0,11.0,101.0,72.0,2.0,271.0,18.0,526.0,338.3333333333333
261,15.0,9.0,141.0,101.0,0.0,317.0,6.0,1950.0,326.3333333333333
262,32.0,20.0,494.0,436.0,2.0,415.0,21.0,1314.0,374.0
263,23.0,25.0,61.0,18.0,2.0,420.0,60.0,371.0,321.85714285714283
264,11.0,13.0,34.0,11.0,2.0,254.0,160.36049058256683,1555.0,333.3076923076923
265,25.0,28.0,272.0,229.0,3.0,439.0,27.0,3232.0,314.0
266,44.0,28.0,228.0,180.0,2.0,594.0,27.0,676.0,531.6
267,25.0,62.0,181.0,94.0,0.0,625.0,37.0,632.0,536.2142857142857
268,9.0,3.0,27.0,1.0,3.0,70.0,160.36049058256683,284.0,148.57142857142858
269,11.0,3.0,41.0,0.0,1.0,220.0,11.0,596.0,211.57142857142856
270,5.0,7.719370860927152,35.0,0.0,0.0,186.0,160.36049058256683,10.0,254.4
271,7.0,1.0,24.0,4.0,0.0,217.0,160.36049058256683,499.0,244.0833333333333
272,10.0,6.0,37.0,4.0,1.0,256.0,3.0,43.0,264.6
273,7.0,10.0,54.0,1.0,1.0,327.0,1.0,1998.0,272.1
274,4.0,24.0,66.0,2.0,0.0,339.0,6.0,61.0,302.4705882352941
275,9.0,3.0,37.0,0.0,1.0,324.0,2.0,794.0,288.5
276,3.0,7.719370860927152,41.0,9.0,0.0,220.0,160.36049058256683,2604.0,240.0
277,2.0,3.0,44.0,24.0,1.0,148.0,3.0,10.0,188.0833333333333
278,3.0,2.0,9.0,6.0,1.0,87.0,1.0,983.0,161.9230769230769
279,4.0,2.0,7.0,7.0,0.0,132.0,2.0,603.3206537460227,138.5
280,7.0,2.0,17.0,16.0,0.0,135.0,160.36049058256683,7.0,134.125
281,2.0,7.719370860927152,18.0,0.0,1.0,110.0,160.36049058256683,16.0,269.8
282,7.0,4.0,22.0,0.0,2.0,155.0,160.36049058256683,3.0,313.2857142857143
283,6.0,5.0,13.0,1.0,1.0,198.0,4.0,603.3206537460227,252.11111111111111
284,13.0,4.0,24.0,0.0,4.0,44.0,160.36049058256683,93.0,53.111111111111114
285,5.0,4.0,63.0,0.0,4.0,52.0,160.36049058256683,73.0,58.22222222222222
286,4.0,1.0,33.0,0.0,0.0,62.0,1.0,33.0,68.0
287,3.0,1.0,67.0,0.0,0.0,50.0,2.0,70.0,62.375
288,3.0,3.0,64.0,0.0,1.0,55.0,2.0,16.0,51.0
289,13.0,2.0,25.0,0.0,2.0,48.0,160.36049058256683,3.0,47.875
290,12.0,2.0,28.0,0.0,4.0,48.0,2.0,18.0,43.411764705882355
291,4.0,4.0,77.0,0.0,3.0,58.0,1.0,23.0,46.92857142857143
292,3.0,7.719370860927152,58.0,0.0,1.0,56.0,160.36049058256683,27.0,60.5
293,5.0,2.0,59.0,0.0,0.0,60.0,1.0,45.0,61.33333333333334
294,6.0,6.0,46.0,0.0,0.0,62.0,1.0,174.0,71.57142857142857
295,3.0,2.0,25.0,0.0,0.0,87.0,1.0,603.3206537460227,84.5
296,2.0,1.0,33.0,0.0,0.0,84.0,160.36049058256683,16.0,89.5
297,3.0,5.0,38.0,0.0,0.0,83.0,3.0,603.3206537460227,91.23076923076924
298,3.0,14.0,34.0,0.0,0.0,76.0,160.36049058256683,74.0,90.07692307692308
299,4.0,13.0,40.0,0.0,0.0,83.0,1.0,12.0,81.8888888888889
300,4.0,3.0,46.0,0.0,1.0,63.0,1.0,49.0,81.71428571428571
301,5.0,4.0,61.0,0.0,0.0,76.0,4.0,72.0,89.0
302,8.0,3.0,52.0,0.0,0.0,110.0,1.0,133.0,119.0
303,20.0,10.0,43.0,0.0,0.0,127.0,4.0,103.0,150.66666666666666
304,13.0,11.0,37.0,0.0,2.0,138.0,19.0,94.0,114.6
305,5.0,5.0,15.0,0.0,1.0,81.0,1.0,603.3206537460227,87.69230769230771
306,9.0,8.0,25.0,0.0,1.0,68.0,160.36049058256683,603.3206537460227,84.375
307,10.0,5.0,27.0,1.0,2.0,58.0,160.36049058256683,18.0,69.73333333333333
308,7.0,7.719370860927152,34.0,1.0,1.0,50.0,160.36049058256683,603.3206537460227,56.07692307692307
309,1.0,2.0,34.0,0.0,1.0,29.0,160.36049058256683,19.0,51.1
310,2.0,3.0,40.0,0.0,1.0,38.0,6.0,24.0,40.57142857142857
311,1.0,4.0,28.0,0.0,2.0,45.0,1.0,603.3206537460227,51.0
312,2.0,2.0,17.0,0.0,2.0,50.0,4.0,5.0,55.3
313,2.0,7.719370860927152,13.0,0.0,1.0,49.0,160.36049058256683,603.3206537460227,60.0
314,1.0,2.0,13.0,0.0,1.0,51.0,160.36049058256683,18.0,63.3
315,1.0,1.0,9.0,0.0,1.0,59.0,3.0,1.0,71.2
316,2.0,2.0,9.0,0.0,0.0,66.0,3.0,7.0,85.2
317,4.0,1.0,10.0,0.0,0.0,75.0,2.0,1.0,110.4
318,4.0,5.0,22.0,0.0,3.0,142.0,160.36049058256683,26.0,118.7
