column,,column,knn,I,p_norm,p_rand,z_norm,z_rand,ftr_type
Cycle Track,606,Cycle Track,7,0.24827727621407933,0.0,0.0,56.3404082551844,56.48465868065643,bk_opendc
d_btw_cntr_SgAsNd,220,d_btw_cntr_SgAsNd,1,0.24675384276732695,0.0,0.0,23.362612030872167,23.43400013031168,net_SaN
d_btw_cntr_SgAsEg,410,d_btw_cntr_SgAsEg,1,0.24669287382048302,0.0,0.0,23.356841230983775,23.42840638470692,net_SaE
cycle_lane_one,466,cycle_lane_one,7,0.2459778208456144,0.0,0.0,55.81875893019398,56.49088394726177,bk_osm
311_LIGHT-INFRASTRUCTURE,982,311_LIGHT-INFRASTRUCTURE,3,0.2434585215829386,0.0,0.0,37.27303193725689,37.2755665423366,311
cycle_way_both,483,cycle_way_both,4,0.243230955242674,0.0,0.0,42.3389928472757,42.67879915492848,bk_osm
ud_page_rank_SgAsNd,400,ud_page_rank_SgAsNd,1,0.23986833621746562,0.0,0.0,22.710888776882015,23.814065922691228,net_SaN
Bus/Bike Lane,576,Bus/Bike Lane,7,0.23958585644292912,0.0,0.0,54.36869211796029,54.39937715955248,bk_opendc
NO FRONT TAGS.,2047,NO FRONT TAGS.,8,0.23561807675167146,0.0,0.0,57.12107258676413,57.37366537776537,parking
is_shared,443,is_shared,4,0.22740425692955524,0.0,0.0,39.584891193853096,39.65703623756943,bk_osm
311_SPEED STUDY DATA MAP,1390,311_SPEED STUDY DATA MAP,1,0.22524659969138414,0.0,0.0,21.326920053773847,21.358269822981562,311
DISOBEYING OFFICIAL SIGN,1950,DISOBEYING OFFICIAL SIGN,1,0.2248600343579432,0.0,0.0,21.290331080229844,21.315541388040533,parking
cycle_lane_both,454,cycle_lane_both,5,0.22465723646797545,0.0,0.0,43.34521672617639,44.10086148254878,bk_osm
cycle_way_right,506,cycle_way_right,7,0.2217359180283772,0.0,0.0,50.31929483338167,50.32898710872622,bk_osm
