,column,db_b,I,EI,p_norm,p_rand,p_sim,p_z_sim
141,d_out_deg_SgAsNd,150,0.4215073945068703,-7.395902669920864e-05,0.0,0.0,0.002,0.0
142,d_out_deg_SgAsNd,200,0.36990568561626375,-7.395902669920864e-05,0.0,0.0,0.002,0.0
143,d_out_deg_SgAsNd,300,0.2978265906343652,-7.395902669920864e-05,0.0,0.0,0.002,0.0
144,d_out_deg_SgAsNd,400,0.24953238980222883,-7.395902669920864e-05,0.0,0.0,0.002,0.0
145,d_page_rank_SgAsNd,100,0.3370621313754425,-7.395902669920864e-05,0.0,0.0,0.002,0.0
146,d_page_rank_SgAsNd,150,0.26889927246280426,-7.395902669920864e-05,0.0,0.0,0.002,0.0
147,d_page_rank_SgAsNd,200,0.20684250394745546,-7.395902669920864e-05,0.0,0.0,0.002,0.0
148,d_page_rank_SgAsNd,300,0.1277627462413012,-7.395902669920864e-05,0.0,0.0,0.002,0.0
149,d_page_rank_SgAsNd,400,0.08847181378550993,-7.395902669920864e-05,0.0,0.0,0.002,0.0
150,ud_art_pt_SgAsNd,100,0.08151754608908453,-7.395902669920864e-05,0.0,0.0,0.002,0.0
151,ud_art_pt_SgAsNd,150,0.07875616444557414,-7.395902669920864e-05,0.0,0.0,0.002,0.0
152,ud_art_pt_SgAsNd,200,0.07646121223960835,-7.395902669920864e-05,0.0,0.0,0.002,0.0
153,ud_art_pt_SgAsNd,300,0.060459073057825205,-7.395902669920864e-05,0.0,0.0,0.002,0.0
154,ud_art_pt_SgAsNd,400,0.053222873109130125,-7.395902669920864e-05,0.0,0.0,0.002,0.0
155,ud_auth_score_SgAsNd,100,0.6954121979234718,-7.395902669920864e-05,0.0,0.0,0.002,0.0
156,ud_auth_score_SgAsNd,150,0.5681431239832847,-7.395902669920864e-05,0.0,0.0,0.002,0.0
157,ud_auth_score_SgAsNd,200,0.44520989943994443,-7.395902669920864e-05,0.0,0.0,0.002,0.0
158,ud_auth_score_SgAsNd,300,0.29438794732827667,-7.395902669920864e-05,0.0,0.0,0.002,0.0
159,ud_auth_score_SgAsNd,400,0.19326348654397008,-7.395902669920864e-05,0.0,0.0,0.002,0.0
160,ud_bridge_SgAsNd,100,0.3682487077153337,-7.395902669920864e-05,0.0,0.0,0.002,0.0
161,ud_bridge_SgAsNd,150,0.21672433538342845,-7.395902669920864e-05,0.0,0.0,0.002,0.0
162,ud_bridge_SgAsNd,200,0.16576826079076723,-7.395902669920864e-05,0.0,0.0,0.002,0.0
163,ud_bridge_SgAsNd,300,0.14891437919158723,-7.395902669920864e-05,0.0,0.0,0.002,0.0
164,ud_bridge_SgAsNd,400,0.10488684586169851,-7.395902669920864e-05,0.0,0.0,0.002,0.0
165,ud_btw_cntr_SgAsNd,100,0.10263914722610554,-7.395902669920864e-05,0.0,0.0,0.002,0.0
166,ud_btw_cntr_SgAsNd,150,0.1203661619414985,-7.395902669920864e-05,0.0,0.0,0.002,0.0
