,column,db_nb,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
301,ud_btw_cntr_SgAsEg,10,-0.013359011106609416,-7.395902669920864e-05,1.8886156716865277,1.8882856229371638,-0.06985655104720405,-0.07006388520049063,0.906,0.9274405079190968
302,ud_btw_cntr_SgAsEg,50,0.10458205100166577,-7.395902669920864e-05,6.236000018589039e-07,5.75427066440426e-07,5.1161712454971875,5.131322454516829,0.01,1.902700392797385e-07
303,ud_btw_cntr_SgAsEg,100,0.10104325583856888,-7.395902669920864e-05,0.0,0.0,13.313165584947953,13.352047131906735,0.002,0.0
304,ud_btw_cntr_SgAsEg,150,0.11865267520790934,-7.395902669920864e-05,0.0,0.0,23.493897857674202,23.56110080354696,0.002,0.0
305,ud_btw_cntr_SgAsEg,200,0.123651399444703,-7.395902669920864e-05,0.0,0.0,31.567347343247334,31.655386283766454,0.002,0.0
306,ud_btw_cntr_SgAsEg,300,0.1292496090077189,-7.395902669920864e-05,0.0,0.0,46.47348437351072,46.59489120203833,0.002,0.0
307,ud_btw_cntr_SgAsEg,400,0.1140800055997075,-7.395902669920864e-05,0.0,0.0,51.79208876646477,51.91644397167945,0.002,0.0
308,is_shared,10,0.0037859104743523113,-7.395902669920864e-05,1.967614042529874,1.967552340192619,0.02029628255981771,0.020334956745680446,0.392,0.9821337745727586
309,is_shared,50,0.0009441525753071275,-7.395902669920864e-05,1.9206097681640908,1.9204591344162636,0.049770990710233845,0.049865503624186985,0.112,0.9912784643963839
310,is_shared,100,0.14361966658007477,-7.395902669920864e-05,0.0,0.0,18.91880659246268,18.953958950426713,0.002,0.0
311,is_shared,150,0.20365894496339235,-7.395902669920864e-05,0.0,0.0,40.31513288865143,40.387624626594494,0.002,0.0
312,is_shared,200,0.15740536813397743,-7.395902669920864e-05,0.0,0.0,40.17935111508288,40.24873408684037,0.002,0.0
313,is_shared,300,0.12070352186194731,-7.395902669920864e-05,0.0,0.0,43.40237789647651,43.46968875742819,0.002,0.0
