,column,knn,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
609,Cycle Track,10,0.22264167699297827,-7.395902669920864e-05,0.0,0.0,60.30988985377843,60.46066969752889,0.002,0.0
610,Existing Bike Lane,1,0.22580295761508198,-7.395902669920864e-05,0.0,0.0,21.379580144035888,22.181516228394386,0.002,0.0
611,Existing Bike Lane,2,0.254147313763818,-7.395902669920864e-05,0.0,0.0,32.47020532694102,33.68742675194414,0.002,0.0
612,Existing Bike Lane,3,0.264132120647107,-7.395902669920864e-05,0.0,0.0,40.43715902308881,41.952169426723955,0.002,0.0
613,Existing Bike Lane,4,0.27355862569882516,-7.395902669920864e-05,0.0,0.0,47.61649834433237,49.39949790491836,0.002,0.0
614,Existing Bike Lane,5,0.2853214819224875,-7.395902669920864e-05,0.0,0.0,55.04588365391538,57.10591673013283,0.002,0.0
615,Existing Bike Lane,6,0.29031716732540763,-7.395902669920864e-05,0.0,0.0,61.00859107555863,63.29048159756671,0.002,0.0
616,Existing Bike Lane,7,0.2948976282682943,-7.395902669920864e-05,0.0,0.0,66.91659751870216,69.41796372012004,0.002,0.0
617,Existing Bike Lane,8,0.29007945922979766,-7.395902669920864e-05,0.0,0.0,70.3200445903572,72.94706778610728,0.002,0.0
618,Existing Bike Lane,9,0.2836606294032148,-7.395902669920864e-05,0.0,0.0,72.9182488337921,75.6407041348838,0.002,0.0
619,Existing Bike Lane,10,0.2805060065878082,-7.395902669920864e-05,0.0,0.0,75.97915945108049,78.81420351345076,0.002,0.0
620,Shared Lane,1,0.1509848722784465,-7.395902669920864e-05,0.0,0.0,14.29793906508185,14.4256086292714,0.002,0.0
621,Shared Lane,2,0.1776326150282891,-7.395902669920864e-05,0.0,0.0,22.697427654952545,22.89963121155629,0.002,0.0
622,Shared Lane,3,0.2188751929480375,-7.395902669920864e-05,0.0,0.0,33.510514547219316,33.808380354740216,0.002,0.0
623,Shared Lane,4,0.21880724249158612,-7.395902669920864e-05,0.0,0.0,38.08887154340694,38.42670094626424,0.002,0.0
624,Shared Lane,5,0.21013270061758255,-7.395902669920864e-05,0.0,0.0,40.54378476255157,40.902600874468625,0.002,0.0
625,Shared Lane,6,0.21361901799062133,-7.395902669920864e-05,0.0,0.0,44.894992537618464,45.291443103727325,0.002,0.0
626,Shared Lane,7,0.20815350189923165,-7.395902669920864e-05,0.0,0.0,47.23801815253104,47.654186958174314,0.002,0.0
627,Shared Lane,8,0.20626454087670226,-7.395902669920864e-05,0.0,0.0,50.00710521041644,50.44664835033833,0.002,0.0
628,Shared Lane,9,0.19872285889079241,-7.395902669920864e-05,0.0,0.0,51.08970293854176,51.53771255068066,0.002,0.0
629,Shared Lane,10,0.19210905415643934,-7.395902669920864e-05,0.0,0.0,52.04186182876842,52.497156605662184,0.002,0.0
630,art,1,0.38127246988815927,-7.395902669920864e-05,0.0,0.0,36.09499660630222,36.30856944265308,0.002,0.0
631,art,2,0.39500082106975326,-7.395902669920864e-05,0.0,0.0,50.460605001370254,50.758148427424224,0.002,0.0
632,art,3,0.40602602455766623,-7.395902669920864e-05,0.0,0.0,62.15424579082007,62.51951292943007,0.002,0.0
633,art,4,0.40336852790955635,-7.395902669920864e-05,0.0,0.0,70.20552223523836,70.61676679631027,0.002,0.0
