,STREETTYPE_CRES_neighbor,crime_mtd_GUN_neighbor,crime_mtd_OTHERS_neighbor,crime_ofn_ASSAULT W/DANGEROUS WEAPON_neighbor,crime_ofn_BURGLARY_neighbor,crime_ofn_ROBBERY_neighbor,crime_ofn_THEFT F/AUTO_neighbor
11142,0.0,6.571428571428571,69.14285714285714,10.714285714285714,14.0,9.0,14.571428571428573
11143,0.0,6.375,68.75,9.625,13.125,8.5,15.125
11144,0.0,8.571428571428571,88.7142857142857,13.285714285714285,13.142857142857142,9.714285714285714,22.0
11145,0.0,7.142857142857142,88.85714285714286,12.571428571428573,11.857142857142858,9.142857142857142,23.42857142857143
11146,0.0,6.5,90.16666666666669,11.5,12.0,8.5,26.33333333333333
11147,0.0,5.888888888888888,81.0,10.111111111111109,12.777777777777779,6.888888888888888,23.777777777777782
11148,0.0,7.666666666666668,87.22222222222223,11.444444444444445,15.777777777777779,7.4444444444444455,25.444444444444446
11149,0.0,10.5,80.0,13.0,18.5,11.25,17.0
11150,0.0,3.8571428571428568,58.0,5.285714285714286,12.714285714285715,6.7142857142857135,13.428571428571427
11151,0.0,5.428571428571429,57.0,7.2857142857142865,12.857142857142858,6.142857142857142,13.285714285714285
11152,0.0,5.0,65.44444444444444,6.777777777777778,13.555555555555555,7.666666666666668,13.333333333333336
11153,0.0,7.2857142857142865,50.57142857142857,10.142857142857142,8.714285714285714,5.857142857142858,12.857142857142858
11154,0.0,18.8,113.6,22.0,18.6,15.8,21.0
11155,0.0,23.57142857142857,164.14285714285714,25.42857142857143,20.0,21.142857142857142,20.714285714285715
11156,0.0,19.11111111111111,120.33333333333331,22.555555555555557,19.555555555555557,14.333333333333336,15.777777777777779
11157,0.0,16.666666666666668,111.16666666666669,19.5,17.0,12.666666666666664,12.666666666666664
11158,0.0,17.6,97.0,22.6,17.2,14.2,26.6
11159,0.0,12.5,43.16666666666666,8.0,4.666666666666667,8.333333333333334,12.5
11160,0.0,13.285714285714285,50.42857142857143,8.714285714285714,5.0,9.571428571428571,15.0
11161,0.0,11.375,51.125,8.875,5.5,7.625,15.125
11162,0.0,9.181818181818182,34.0,7.272727272727272,4.2727272727272725,7.8181818181818175,7.8181818181818175
11163,0.0,18.428571428571427,118.42857142857143,22.0,19.714285714285715,14.285714285714285,14.571428571428573
11164,0.0,17.5,104.0,18.5,7.5,27.33333333333333,31.5
11165,0.0,13.666666666666664,89.66666666666669,12.666666666666664,6.5,19.33333333333333,32.333333333333336
11166,0.0,16.5,92.3,14.1,17.2,16.2,25.3
11167,0.0,3.2142857142857144,15.928571428571427,1.1428571428571428,2.357142857142857,3.8571428571428568,2.571428571428572
11168,0.0,5.238095238095238,21.476190476190478,1.4761904761904765,1.9523809523809523,6.142857142857142,4.428571428571429
11169,0.0,7.684210526315789,28.947368421052627,1.8947368421052633,2.8947368421052637,8.842105263157897,6.684210526315789
11170,0.0,5.666666666666668,27.33333333333333,10.0,3.0,9.666666666666666,3.0
11171,0.0,54.25,222.0,54.0,41.25,47.25,34.75
11172,0.0,9.333333333333334,85.33333333333333,11.0,14.0,12.666666666666664,21.33333333333333
11173,0.0,31.33333333333333,115.66666666666669,25.0,25.33333333333333,24.66666666666667,20.0
11174,0.0,10.571428571428571,114.0,14.714285714285715,20.0,10.142857142857142,35.285714285714285
11175,0.0,9.6,68.8,14.6,10.8,5.4,15.0
11176,0.0,14.142857142857142,83.57142857142857,18.142857142857142,14.714285714285715,12.428571428571427,14.714285714285715
11177,0.0,7.4,52.0,6.4,7.6,12.4,13.4
11178,0.0,4.6,43.8,3.0,6.2,11.4,11.2
11179,0.0,1.5,62.375,0.375,1.5,3.5,25.625
11180,0.0,7.777777777777778,76.77777777777777,14.333333333333336,8.444444444444445,9.333333333333334,22.33333333333333
11181,0.0,11.214285714285712,127.5,15.5,5.5,19.571428571428573,39.5
11182,0.0,9.833333333333334,131.75,16.166666666666668,6.0,19.5,39.083333333333336
11183,0.0,7.8181818181818175,110.1818181818182,15.181818181818182,6.363636363636362,15.818181818181818,31.45454545454545
11184,0.0,8.0,84.5,16.0,8.75,10.625,23.125
11185,0.0,8.875,85.625,17.75,10.0,9.5,24.5
11186,0.0,9.25,99.0,21.75,11.0,9.5,29.5
11187,0.0,3.5,45.75,7.5,2.75,4.25,15.75
11188,0.0,12.2,95.33333333333331,14.6,10.533333333333333,11.0,31.6
11189,0.0,9.0625,92.375,12.1875,7.5625,10.75,29.9375
11190,0.0,7.0769230769230775,98.0,14.230769230769232,8.153846153846152,11.307692307692307,28.0
11191,0.0,7.4444444444444455,86.0,15.222222222222221,10.333333333333334,10.111111111111109,21.0
11192,0.0,9.125,97.0,19.0,13.875,9.375,26.375
11193,0.0,7.0,81.75,16.375,9.875,7.25,23.625
11194,0.0,3.0,41.8,8.4,3.4,3.0,13.6
