,column,knn,I,EI,p_norm,p_rand,p_sim,p_z_sim
229,d_btw_cntr_SgAsNd,10,0.19586262440586166,-7.395902669920864e-05,0.0,0.0,0.002,0.0
230,d_clo_cntr_SgAsNd,1,0.7219952201255304,-7.395902669920864e-05,0.0,0.0,0.002,0.0
231,d_clo_cntr_SgAsNd,2,0.7143313530286548,-7.395902669920864e-05,0.0,0.0,0.002,0.0
232,d_clo_cntr_SgAsNd,3,0.7016135258922895,-7.395902669920864e-05,0.0,0.0,0.002,0.0
233,d_clo_cntr_SgAsNd,4,0.690332290384722,-7.395902669920864e-05,0.0,0.0,0.002,0.0
234,d_clo_cntr_SgAsNd,5,0.6845247793794969,-7.395902669920864e-05,0.0,0.0,0.002,0.0
235,d_clo_cntr_SgAsNd,6,0.6802275657423746,-7.395902669920864e-05,0.0,0.0,0.002,0.0
236,d_clo_cntr_SgAsNd,7,0.6737673906532801,-7.395902669920864e-05,0.0,0.0,0.002,0.0
237,d_clo_cntr_SgAsNd,8,0.6686367050799881,-7.395902669920864e-05,0.0,0.0,0.002,0.0
238,d_clo_cntr_SgAsNd,9,0.6629186613969323,-7.395902669920864e-05,0.0,0.0,0.002,0.0
239,d_clo_cntr_SgAsNd,10,0.6597790252974401,-7.395902669920864e-05,0.0,0.0,0.002,0.0
240,d_far_cntr_SgAsNd,1,0.29504903184669,-7.395902669920864e-05,0.0,0.0,0.002,0.0
241,d_far_cntr_SgAsNd,2,0.3102851663781739,-7.395902669920864e-05,0.0,0.0,0.002,0.0
242,d_far_cntr_SgAsNd,3,0.2574300928471706,-7.395902669920864e-05,0.0,0.0,0.002,0.0
243,d_far_cntr_SgAsNd,4,0.23686236514249642,-7.395902669920864e-05,0.0,0.0,0.002,0.0
244,d_far_cntr_SgAsNd,5,0.22916618852323445,-7.395902669920864e-05,0.0,0.0,0.002,0.0
245,d_far_cntr_SgAsNd,6,0.22708544716595033,-7.395902669920864e-05,0.0,0.0,0.002,0.0
246,d_far_cntr_SgAsNd,7,0.23210668613011481,-7.395902669920864e-05,0.0,0.0,0.002,0.0
247,d_far_cntr_SgAsNd,8,0.2354163399558599,-7.395902669920864e-05,0.0,0.0,0.002,0.0
248,d_far_cntr_SgAsNd,9,0.22464008290985907,-7.395902669920864e-05,0.0,0.0,0.002,0.0
249,d_far_cntr_SgAsNd,10,0.22102423127600357,-7.395902669920864e-05,0.0,0.0,0.002,0.0
250,d_hub_score_SgAsNd,1,0.49606229211705927,-7.395902669920864e-05,0.0,0.0,0.002,0.0
