column,,column,db_nb,I,p_norm,p_rand,z_norm,z_rand,ftr_type
v0ur_Biker,1093,v0ur_Biker,50,0.4510709605379124,0.0,0.0,22.054487500555698,22.214303705728177,v0
food,472,food,150,0.446131592766112,0.0,0.0,88.29617486361505,88.66098346768118,poi
311_SCHOOL CROSSING GUAR,905,311_SCHOOL CROSSING GUAR,100,0.44412561665422007,0.0,0.0,58.4836371500472,58.48496789641336,311
Bus/Bike Lane,400,Bus/Bike Lane,50,0.43369590459292556,0.0,0.0,21.205097564989135,21.219914379948648,bk_opendc
311_SIGN NEW,939,311_SIGN NEW,50,0.4221186600754663,0.0,0.0,20.639137086596527,20.89902618775349,311
v0rq_Jaywalking,1156,v0rq_Jaywalking,50,0.4189143796964908,0.0,0.0,20.482493936021783,20.563948187972862,v0
311_TREE PRUNING,1066,311_TREE PRUNING,100,0.4184495463751507,0.0,0.0,55.103107181421414,56.65953965830932,311
side_walk_no,373,side_walk_no,100,0.4147769528064882,0.0,0.0,54.61957085804694,55.23223834925249,bk_osm
311_TRAFFIC SAFETY,1030,311_TRAFFIC SAFETY,50,0.4140226953643365,0.0,0.0,20.243361040400842,20.42908035090908,311
v0rq_Other Driving Issue,1191,v0rq_Other Driving Issue,50,0.4135431850808259,0.0,0.0,20.21991989522674,20.421849765008954,v0
v0rq_Cyclist behavior,1136,v0rq_Cyclist behavior,100,0.4094742623032336,0.0,0.0,53.921414794219196,54.13034384418585,v0
311_BUS AND/OR RAIL ISSU,638,311_BUS AND/OR RAIL ISSU,50,0.4074281335764584,0.0,0.0,19.920981968366164,20.055035858248438,311
311_TREE INSPECTION,1052,311_TREE INSPECTION,100,0.4048120646150379,0.0,0.0,53.30758647729598,56.34723184510504,311
OBSTRUCTING CROSSWALK,1471,OBSTRUCTING CROSSWALK,50,0.392614762001196,0.0,0.0,19.196821495578387,19.22439873338714,parking
311_SIGN REPLACE,954,311_SIGN REPLACE,100,0.39095483202932874,0.0,0.0,51.48313322066214,53.694216667399424,311
311_TREE PLANTING,1060,311_TREE PLANTING,150,0.38583662713092187,0.0,0.0,76.36486919579038,77.33503548311323,311
ud_bridge_SgAsNd,226,ud_bridge_SgAsNd,100,0.38163557738588816,0.0,0.0,50.25615341943113,50.39678340511625,net_SaN
nightlife spot,478,nightlife spot,100,0.37841613935740526,0.0,0.0,49.83227988196493,49.96775319544163,poi
v0rq_Other Walking Issue,1198,v0rq_Other Walking Issue,50,0.3763993309192247,0.0,0.0,18.40412051058538,18.530208714005045,v0
crash_1stharm_Motor Vehicle In Transport,547,crash_1stharm_Motor Vehicle In Transport,50,0.3720046333434948,0.0,0.0,18.189283107902902,18.330475225576706,crash
311_TRAFFIC CALMING,1016,311_TRAFFIC CALMING,50,0.3650111674419433,0.0,0.0,17.847403371209467,17.884496990661876,311
art,443,art,100,0.35845892294882453,0.0,0.0,47.2046983468515,47.48289986634861,poi
crash_evt_COLLISION_WITH_NON_FIXED,521,crash_evt_COLLISION_WITH_NON_FIXED,150,0.35616045306416716,0.0,0.0,70.4924800151691,71.20061738531588,crash
311_MARKING MAINTENANCE,724,311_MARKING MAINTENANCE,150,0.35600944487784014,0.0,0.0,70.46259816996974,70.67739044451572,311
v0rq_Blocking the bikebox,1121,v0rq_Blocking the bikebox,50,0.35382903726625914,0.0,0.0,17.30075829222417,17.32109229552624,v0
311_ALLEYLIGHT REPAIR,597,311_ALLEYLIGHT REPAIR,100,0.35024957169405974,0.0,0.0,46.1238492278829,46.750898792577644,311
crash_evt_PENDING_INVESTIGATION,535,crash_evt_PENDING_INVESTIGATION,150,0.34045778023973583,0.0,0.0,67.38519921159919,67.99865599208657,crash
cycle_way_both,337,cycle_way_both,50,0.33429719415091086,0.0,0.0,16.345932534093095,16.478379182943808,bk_osm
v0rq_Accessibility Issue,1115,v0rq_Accessibility Issue,100,0.3281073880563222,0.0,0.0,43.208593328337976,43.392656207083476,v0
311_SAFE ROUTES TO SCHOO,898,311_SAFE ROUTES TO SCHOO,100,0.3276536925978123,0.0,0.0,43.14885945639214,43.21869959426942,311
crash_1stharm_Pedestrian,575,crash_1stharm_Pedestrian,50,0.3273569289361428,0.0,0.0,16.00665354458932,16.155138819214766,crash
311_DDOT CITATION,667,311_DDOT CITATION,100,0.32143345286657393,0.0,0.0,42.329898198109966,42.39598134301111,311
side_walk_right,379,side_walk_right,50,0.3058578845202138,0.0,0.0,14.955659981805569,15.037586010762318,bk_osm
311_TREE REMOVAL,1073,311_TREE REMOVAL,100,0.3039360793530813,0.0,0.0,40.02618135625278,41.54514124203155,311
elevation_diff,142,elevation_diff,100,0.3014312914002115,0.0,0.0,39.69639916420793,40.530713301182374,elevation
311_ROADWAY LIGHTING ,821,311_ROADWAY LIGHTING ,100,0.2983583431048874,0.0,0.0,39.29181257087519,39.467076449338826,311
FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,1331,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,50,0.29575092953767884,0.0,0.0,14.461575481095432,14.497216812701465,moving
