,STREETTYPE_CRES_neighbor,ud_far_cntr_SgAsNd_neighbor,ud_node_ecc_SgAsNd_neighbor,poi_total_neighbor,crime_total_neighbor
126,0.0,33.52200585215,62.5,42.25,120.875
127,0.0,33.8060101381,62.25,40.375,150.5
128,0.0,34.050682958088885,62.22222222222222,32.333333333333336,163.33333333333334
129,0.0,33.083522020792856,61.5,33.42857142857143,311.57142857142856
130,0.0,32.71163146852857,61.42857142857143,37.785714285714285,361.21428571428567
131,0.0,32.71307899603077,61.53846153846154,37.615384615384606,363.3846153846154
132,0.0,32.47005457960715,61.35714285714285,37.357142857142854,360.9285714285714
133,0.0,31.395131160825,61.91666666666666,26.58333333333333,360.41666666666674
134,0.0,31.34237668760909,62.45454545454545,23.363636363636363,356.45454545454544
135,0.0,31.348848569763643,62.36363636363637,23.181818181818183,360.27272727272725
136,0.0,31.17459886117273,62.72727272727273,16.545454545454547,313.8181818181818
137,0.0,31.146102012671427,62.85714285714285,13.285714285714285,296.0
138,0.0,31.384277415262503,63.25,12.25,240.875
139,0.0,31.724444548457146,63.42857142857143,11.285714285714285,190.85714285714286
140,0.0,32.038684268400004,63.375,9.875,201.625
141,0.0,30.322189079162502,60.875,18.25,260.0
142,0.0,30.32329647836429,61.07142857142857,12.5,182.7142857142857
143,0.0,30.4786263953625,61.4375,11.9375,167.5
144,0.0,30.79926333391818,61.90909090909091,12.090909090909092,181.27272727272728
145,0.0,31.61832695786924,61.384615384615394,9.846153846153848,133.76923076923077
146,0.0,31.77496244503846,61.46153846153846,8.615384615384615,132.61538461538458
147,0.0,32.03492293324615,61.846153846153854,6.384615384615384,154.9230769230769
148,0.0,32.24543373148889,63.0,6.888888888888888,199.66666666666663
149,0.0,32.43175482149375,63.9375,10.0,218.8125
150,0.0,32.613504363699995,64.58823529411765,9.647058823529411,214.52941176470588
151,0.0,33.56314216443125,66.75,8.6875,216.375
152,0.0,34.26153505472,68.93333333333334,5.466666666666668,176.13333333333333
153,0.0,34.235407129100004,69.66666666666667,5.333333333333333,160.2
154,0.0,34.17730470344286,70.21428571428571,4.928571428571429,148.42857142857142
155,0.0,34.18601148648332,70.66666666666667,5.833333333333332,146.0
156,0.0,33.97652018190909,70.9090909090909,6.909090909090909,147.9090909090909
157,0.0,33.2454295983,70.66666666666667,11.333333333333336,144.0
158,0.0,33.283109362633326,71.33333333333333,10.333333333333334,104.0
159,0.0,33.45681862645,72.0,9.0,91.0
160,,,,,
161,0.0,34.68212300733846,75.69230769230771,3.9230769230769234,31.461538461538463
162,0.0,37.34557054916471,81.82352941176471,4.117647058823529,37.23529411764706
163,0.0,37.246806352468425,81.63157894736842,3.842105263157895,39.631578947368425
164,0.0,36.899827135387504,81.1875,2.3125,53.375
165,0.0,36.66990965356667,80.25,2.083333333333333,61.41666666666666
166,0.0,36.5718024832,79.33333333333333,5.777777777777778,60.111111111111114
167,0.0,36.167001354060005,78.4,6.1,54.4
168,0.0,36.446803513733336,78.83333333333333,4.583333333333333,44.33333333333334
169,0.0,36.900088668045456,79.72727272727273,5.727272727272728,41.72727272727273
170,0.0,37.067785764133326,79.91666666666667,5.75,43.83333333333334
171,0.0,37.893509123545435,81.36363636363636,4.818181818181818,51.81818181818182
172,0.0,38.542157212490906,82.36363636363636,4.0,60.45454545454545
173,0.0,39.2175082065,83.6,1.6,83.2
174,0.0,39.421546905525,84.25,1.125,91.25
175,0.0,39.44070702604285,84.57142857142857,1.0,82.0
176,0.0,40.94192866141765,88.52941176470587,3.7647058823529416,66.05882352941177
177,0.0,44.144415521083324,93.33333333333331,3.1666666666666665,29.66666666666667
178,0.0,44.94161079706666,96.83333333333331,5.0,27.66666666666667
179,0.0,31.622313622133326,61.33333333333334,37.333333333333336,7.0
180,0.0,32.15167334522857,61.714285714285715,42.142857142857146,7.7142857142857135
181,0.0,27.722784858742862,52.85714285714285,36.714285714285715,95.14285714285714
182,0.0,23.32625674408572,44.28571428571429,28.285714285714285,181.14285714285717
183,0.0,33.1411226369,60.33333333333334,24.33333333333333,45.0
184,0.0,33.16729188078749,60.125,29.125,59.0
