column,,column,db_b,I,p_norm,p_rand,z_norm,z_rand,ftr_type
311_CURB GUTTER REPAIR,660,311_CURB GUTTER REPAIR,100,0.2790591816940408,0.0,0.0,37.32120453453201,37.69371391736599,311
FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,1331,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,50,0.27807000438961266,0.0,0.0,13.679831932652048,13.713545463532453,moving
FAILURE TO DISPLAY CURRENT TAGS,1410,FAILURE TO DISPLAY CURRENT TAGS,150,0.27572164039623864,0.0,0.0,57.01434422394333,57.41593605674901,parking
FAIL TO REPORT FOR INSPECTION.,1403,FAIL TO REPORT FOR INSPECTION.,150,0.2749802517142302,0.0,0.0,56.86107930743194,57.145348954939685,parking
crash_1stharm_null,582,crash_1stharm_null,50,0.2748670288741933,0.0,0.0,13.522301399912228,13.637643267296097,crash
d_far_cntr_SgAsNd,170,d_far_cntr_SgAsNd,100,0.2712629685780148,0.0,0.0,36.27882001671116,36.287857261539806,net_SaN
311_UTILITY REPAIR,1080,311_UTILITY REPAIR,100,0.2710711360237288,0.0,0.0,36.25317124574686,37.185803293068204,311
v0rq_Other Biking Issue,1184,v0rq_Other Biking Issue,50,0.2643504917192926,0.0,0.0,13.005071189248971,13.127376464570755,v0
STREETTYPE_ST,101,STREETTYPE_ST,150,0.2588881332751579,0.0,0.0,53.534407011364024,147.26792581954678,seg_attr
311_MARKING REMOVAL,737,311_MARKING REMOVAL,100,0.2575331243904818,0.0,0.0,34.44308556458883,34.50493478917419,311
311_ALLEY REPAIR,590,311_ALLEY REPAIR,100,0.25732633912283526,0.0,0.0,34.41543755672907,34.765406282401415,311
"crash_1stharm_Other Fixed Object (Wall, Building, Tunnel, Etc.)",554,"crash_1stharm_Other Fixed Object (Wall, Building, Tunnel, Etc.)",50,0.25653715686333434,0.0,0.0,12.620791385545086,12.675730531411059,crash
STREETTYPE_RD,94,STREETTYPE_RD,150,0.25606549597458395,0.0,0.0,52.950892209057564,55.40631441252445,seg_attr
